date_inicial,date_final,IrrDia_1,IrrDia_2,IrrDia_3,th1_dia1,th1_dia2,th1_dia3,th2_dia1,th2_dia2,th2_dia3,MinTemp_dia1,MinTemp_dia2,MinTemp_dia3,MaxTemp_dia1,MaxTemp_dia2,MaxTemp_dia3,Precipitation_dia1,Precipitation_dia2,Precipitation_dia3,ReferenceET_dia1,ReferenceET_dia2,ReferenceET_dia3,Estresse_hidrico_dia1,Estresse_hidrico_dia2,Estresse_hidrico_dia3
2002-02-07,2002-02-09,6.266843368025663,4.776676546396904,2.056282784052448,0.2221955529908809,0.2157037240690037,0.2200056640470903,0.2200000380776147,0.2201817913970826,0.2200167086175057,17.7,18.7,16.3,31.3,32.0,30.2,0.0,0.6,4.2,5.0,5.3,5.3,0.0,0.0,0.0
2002-02-10,2002-02-12,5.826088786243783,4.955573488051243,6.6457815769045965,0.225498329614981,0.211789979112198,0.2199911987516207,0.2200015369570404,0.2204492809485713,0.2200412392599523,14.5,17.8,16.3,30.0,29.2,30.2,0.0,0.0,0.0,4.8,5.3,5.3,0.0,0.0,0.0
2002-02-13,2002-02-15,5.825659612962335,5.106438373142151,5.845719902836304,0.2243888965830233,0.2165021765452836,0.2211020528588944,0.2200037929707113,0.2203604967339929,0.2200331043389327,14.5,14.4,15.4,30.0,31.8,31.8,0.0,0.0,0.0,4.9,5.0,4.9,0.0,0.0,0.0
2002-02-16,2002-02-18,5.345780128823455,4.686254428979463,5.825702446565782,0.2240984102446576,0.2144749105187558,0.2133808179482291,0.2200946654716008,0.2203451078193862,0.2200316935898585,14.8,15.4,13.7,32.8,33.2,32.8,0.0,0.0,0.0,4.5,4.8,5.4,0.0,0.0,0.0
2002-02-19,2002-02-21,6.59511170361845,7.034607881168648,4.365779655151872,0.2147810168863373,0.2334704072979901,0.2109597168166074,0.2197077544338166,0.2197077544338166,0.2210400429787801,13.4,16.0,16.3,32.8,32.2,32.4,0.0,0.0,0.0,5.9,4.7,4.9,0.0,0.0,0.0
2002-02-22,2002-02-24,6.275451842615055,6.714862699152485,6.484646532608899,0.2132656082512334,0.2177677699166692,0.219817667402377,0.220095185907087,0.2200087523688138,0.2190521095945346,15.6,17.6,14.6,34.1,33.8,34.4,0.0,0.0,0.0,5.5,5.7,5.8,0.0,0.0,0.0
2002-02-25,2002-02-27,6.484526337189088,6.814313665396294,6.8141974711983,0.2216850140765666,0.2253350846540859,0.2314694474144312,0.2160868896382729,0.2135379810027337,0.2183952180437894,14.2,14.4,15.5,34.4,34.6,33.7,0.0,0.0,0.0,6.0,6.1,5.2,0.0,0.0,0.0
2002-02-28,2002-03-02,5.075037491058288,6.684831895090979,6.814435120199563,0.2123972179748605,0.2173009434768669,0.223442614234596,0.2207801150465771,0.2182717313721067,0.2154311452793362,15.7,17.5,18.2,34.4,35.0,35.2,0.0,0.0,0.0,5.4,5.8,5.9,0.0,0.0,0.0
2002-03-03,2002-03-05,6.594326653703721,5.364893679733759,5.775077942104204,0.2280056409450461,0.2183054491051847,0.2200054668886227,0.2185624483085866,0.2205235300868691,0.2200480368953887,16.6,15.9,17.0,35.7,34.8,35.4,0.0,0.0,0.0,5.3,5.1,5.1,0.0,0.0,0.0
2002-03-06,2002-03-08,5.605076163760407,6.264778638151435,6.374578030621046,0.2167034781606032,0.2182338948689831,0.2192350062142304,0.2200044180332922,0.2195719957882981,0.2097806417260338,19.7,17.8,20.0,35.2,35.8,36.2,0.0,0.0,0.0,5.4,5.6,6.6,0.0,0.0,0.0
2002-03-09,2002-03-11,8.353602302322749,4.654954156313341,6.754852408352231,0.2456214876743244,0.2103574301437797,0.2284922122404356,0.2097806417260338,0.2211464962546546,0.2201048731803052,21.1,20.0,19.2,34.9,33.8,34.8,0.0,0.0,0.0,5.2,5.3,4.5,0.0,0.0,0.0
2002-03-12,2002-03-14,4.401374198686725,7.364524592521219,7.017476331458959,0.2055168896401375,0.2178255530326729,0.2263654555263306,0.2206939876320946,0.2167254428449462,0.2115513719957067,16.4,16.6,18.8,36.3,37.1,35.8,0.0,0.0,0.0,5.4,5.9,6.1,0.0,0.0,0.0
2002-03-15,2002-03-17,6.890893167017135,7.103916626576637,5.074569816346974,0.2275412115996234,0.2337613262314126,0.2173074570420226,0.2103453813268191,0.2172187347973275,0.2208578307468451,17.9,17.2,19.7,34.9,33.4,35.4,0.0,0.0,0.0,6.3,5.3,5.0,0.0,0.0,0.0
2002-03-18,2002-03-20,5.721782114083959,6.552682501591126,6.863575079822119,0.2144984531669511,0.2188271925168373,0.2264419570299107,0.2200785806469105,0.2168695609710846,0.2147009681047094,18.7,17.8,17.4,35.2,35.2,35.2,0.0,0.0,0.0,5.5,5.9,5.8,0.0,0.0,0.0
2002-03-21,2002-03-23,6.178957915152311,6.602233228899741,5.870293349907163,0.2211928682642016,0.2254584914070079,0.2205156440826756,0.2170003299851096,0.217854105632229,0.2202561657821145,17.2,21.0,17.6,35.8,36.4,36.4,0.0,0.0,0.0,5.9,5.6,5.4,0.0,0.0,0.0
2002-03-24,2002-03-26,5.867588327823983,6.935207127408815,7.044930032198792,0.2175833227640196,0.2253187707618133,0.2293164696307304,0.2171351195520332,0.2115024425063396,0.2107644018753293,17.9,17.7,19.7,37.2,38.2,38.4,0.0,0.0,0.0,5.9,6.2,6.2,0.0,0.0,0.0
